2022-08-02 04:33:18 status installed libaprutil1-ldap:amd64 1.6.1-5
2022-08-02 04:33:18 configure ca-certificates:all 20210119 <none>
2022-08-02 04:33:18 status unpacked ca-certificates:all 20210119
2022-08-02 04:33:18 status half-configured ca-certificates:all 20210119
2022-08-02 04:33:19 status installed ca-certificates:all 20210119
2022-08-02 04:33:19 status triggers-pending ca-certificates:all 20210119
2022-08-02 04:33:19 trigproc libc-bin:amd64 2.31-13+deb11u3 <none>
2022-08-02 04:33:19 status half-configured libc-bin:amd64 2.31-13+deb11u3
2022-08-02 04:33:19 status installed libc-bin:amd64 2.31-13+deb11u3
2022-08-02 04:33:19 trigproc ca-certificates:all 20210119 <none>
2022-08-02 04:33:19 status half-configured ca-certificates:all 20210119
2022-08-02 04:33:19 status installed ca-certificates:all 20210119
2022-08-02 04:33:25 startup archives unpack
2022-08-02 04:33:25 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2022-08-02 04:33:25 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2022-08-02 04:33:25 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2022-08-02 04:33:25 install libgdbm-compat4:amd64 <none> 1.19-2
2022-08-02 04:33:25 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-08-02 04:33:25 status half-installed libgdbm-compat4:amd64 1.19-2
2022-08-02 04:33:25 status unpacked libgdbm-compat4:amd64 1.19-2
2022-08-02 04:33:25 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2022-08-02 04:33:25 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2022-08-02 04:33:26 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-08-02 04:33:26 install perl:amd64 <none> 5.32.1-4+deb11u2
2022-08-02 04:33:26 status half-installed perl:amd64 5.32.1-4+deb11u2
2022-08-02 04:33:26 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-08-02 04:33:26 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2022-08-02 04:33:26 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:26 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:26 install python3.9-minimal:amd64 <none> 3.9.2-1
2022-08-02 04:33:26 status half-installed python3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:26 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:26 startup packages configure
2022-08-02 04:33:26 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2022-08-02 04:33:26 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:26 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:26 status installed libpython3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:26 configure python3.9-minimal:amd64 3.9.2-1 <none>
2022-08-02 04:33:26 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:26 status half-configured python3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:27 status installed python3.9-minimal:amd64 3.9.2-1
2022-08-02 04:33:27 startup archives unpack
2022-08-02 04:33:27 install python3-minimal:amd64 <none> 3.9.2-3
2022-08-02 04:33:27 status half-installed python3-minimal:amd64 3.9.2-3
2022-08-02 04:33:27 status unpacked python3-minimal:amd64 3.9.2-3
2022-08-02 04:33:27 install media-types:all <none> 4.0.0
2022-08-02 04:33:27 status half-installed media-types:all 4.0.0
2022-08-02 04:33:27 status unpacked media-types:all 4.0.0
2022-08-02 04:33:27 install libmpdec3:amd64 <none> 2.5.1-1
2022-08-02 04:33:27 status half-installed libmpdec3:amd64 2.5.1-1
2022-08-02 04:33:27 status unpacked libmpdec3:amd64 2.5.1-1
2022-08-02 04:33:27 install libncursesw6:amd64 <none> 6.2+20201114-2
2022-08-02 04:33:27 status half-installed libncursesw6:amd64 6.2+20201114-2
2022-08-02 04:33:27 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-08-02 04:33:27 install readline-common:all <none> 8.1-1
2022-08-02 04:33:27 status half-installed readline-common:all 8.1-1
2022-08-02 04:33:27 status unpacked readline-common:all 8.1-1
2022-08-02 04:33:27 install libreadline8:amd64 <none> 8.1-1
2022-08-02 04:33:27 status half-installed libreadline8:amd64 8.1-1
2022-08-02 04:33:27 status unpacked libreadline8:amd64 8.1-1
2022-08-02 04:33:27 install libsqlite3-0:amd64 <none> 3.34.1-3
2022-08-02 04:33:27 status half-installed libsqlite3-0:amd64 3.34.1-3
2022-08-02 04:33:27 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-08-02 04:33:27 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2022-08-02 04:33:27 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2022-08-02 04:33:27 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-08-02 04:33:27 install python3.9:amd64 <none> 3.9.2-1
2022-08-02 04:33:27 status half-installed python3.9:amd64 3.9.2-1
2022-08-02 04:33:27 status unpacked python3.9:amd64 3.9.2-1
2022-08-02 04:33:27 install libpython3-stdlib:amd64 <none> 3.9.2-3
2022-08-02 04:33:27 status half-installed libpython3-stdlib:amd64 3.9.2-3
2022-08-02 04:33:27 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-08-02 04:33:27 startup packages configure
2022-08-02 04:33:27 configure python3-minimal:amd64 3.9.2-3 <none>
2022-08-02 04:33:27 status unpacked python3-minimal:amd64 3.9.2-3
2022-08-02 04:33:27 status half-configured python3-minimal:amd64 3.9.2-3
2022-08-02 04:33:28 status installed python3-minimal:amd64 3.9.2-3
2022-08-02 04:33:28 startup archives unpack
2022-08-02 04:33:28 install python3:amd64 <none> 3.9.2-3
2022-08-02 04:33:28 status half-installed python3:amd64 3.9.2-3
2022-08-02 04:33:28 status unpacked python3:amd64 3.9.2-3
2022-08-02 04:33:28 install bzip2:amd64 <none> 1.0.8-4
2022-08-02 04:33:28 status half-installed bzip2:amd64 1.0.8-4
2022-08-02 04:33:28 status unpacked bzip2:amd64 1.0.8-4
2022-08-02 04:33:28 install libpsl5:amd64 <none> 0.21.0-1.2
2022-08-02 04:33:28 status half-installed libpsl5:amd64 0.21.0-1.2
2022-08-02 04:33:28 status unpacked libpsl5:amd64 0.21.0-1.2
2022-08-02 04:33:28 install wget:amd64 <none> 1.21-1+deb11u1
2022-08-02 04:33:28 status half-installed wget:amd64 1.21-1+deb11u1
2022-08-02 04:33:28 status unpacked wget:amd64 1.21-1+deb11u1
2022-08-02 04:33:28 install xz-utils:amd64 <none> 5.2.5-2.1~deb11u1
2022-08-02 04:33:28 status half-installed xz-utils:amd64 5.2.5-2.1~deb11u1
2022-08-02 04:33:28 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2022-08-02 04:33:28 install binutils-common:amd64 <none> 2.35.2-2
2022-08-02 04:33:28 status half-installed binutils-common:amd64 2.35.2-2
2022-08-02 04:33:28 status unpacked binutils-common:amd64 2.35.2-2
2022-08-02 04:33:28 install libbinutils:amd64 <none> 2.35.2-2
2022-08-02 04:33:28 status half-installed libbinutils:amd64 2.35.2-2
2022-08-02 04:33:28 status unpacked libbinutils:amd64 2.35.2-2
2022-08-02 04:33:28 install libctf-nobfd0:amd64 <none> 2.35.2-2
2022-08-02 04:33:28 status half-installed libctf-nobfd0:amd64 2.35.2-2
2022-08-02 04:33:28 status unpacked libctf-nobfd0:amd64 2.35.2-2
2022-08-02 04:33:28 install libctf0:amd64 <none> 2.35.2-2
2022-08-02 04:33:28 status half-installed libctf0:amd64 2.35.2-2
2022-08-02 04:33:28 status unpacked libctf0:amd64 2.35.2-2
2022-08-02 04:33:28 install binutils-x86-64-linux-gnu:amd64 <none> 2.35.2-2
2022-08-02 04:33:28 status half-installed binutils-x86-64-linux-gnu:amd64 2.35.2-2
2022-08-02 04:33:28 status unpacked binutils-x86-64-linux-gnu:amd64 2.35.2-2
2022-08-02 04:33:28 install binutils:amd64 <none> 2.35.2-2
2022-08-02 04:33:28 status half-installed binutils:amd64 2.35.2-2
2022-08-02 04:33:28 status unpacked binutils:amd64 2.35.2-2
2022-08-02 04:33:28 install libisl23:amd64 <none> 0.23-1
2022-08-02 04:33:28 status half-installed libisl23:amd64 0.23-1
2022-08-02 04:33:29 status unpacked libisl23:amd64 0.23-1
2022-08-02 04:33:29 install libmpfr6:amd64 <none> 4.1.0-3
2022-08-02 04:33:29 status half-installed libmpfr6:amd64 4.1.0-3
2022-08-02 04:33:29 status unpacked libmpfr6:amd64 4.1.0-3
2022-08-02 04:33:29 install libmpc3:amd64 <none> 1.2.0-1
2022-08-02 04:33:29 status half-installed libmpc3:amd64 1.2.0-1
2022-08-02 04:33:29 status unpacked libmpc3:amd64 1.2.0-1
2022-08-02 04:33:29 install cpp-10:amd64 <none> 10.2.1-6
2022-08-02 04:33:29 status half-installed cpp-10:amd64 10.2.1-6
2022-08-02 04:33:29 status unpacked cpp-10:amd64 10.2.1-6
2022-08-02 04:33:29 install cpp:amd64 <none> 4:10.2.1-1
2022-08-02 04:33:29 status half-installed cpp:amd64 4:10.2.1-1
2022-08-02 04:33:29 status unpacked cpp:amd64 4:10.2.1-1
2022-08-02 04:33:30 install libassuan0:amd64 <none> 2.5.3-7.1
2022-08-02 04:33:30 status half-installed libassuan0:amd64 2.5.3-7.1
2022-08-02 04:33:30 status unpacked libassuan0:amd64 2.5.3-7.1
2022-08-02 04:33:30 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 04:33:30 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:30 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:30 install libksba8:amd64 <none> 1.5.0-3
2022-08-02 04:33:30 status half-installed libksba8:amd64 1.5.0-3
2022-08-02 04:33:30 status unpacked libksba8:amd64 1.5.0-3
2022-08-02 04:33:30 install libnpth0:amd64 <none> 1.6-3
2022-08-02 04:33:30 status half-installed libnpth0:amd64 1.6-3
2022-08-02 04:33:30 status unpacked libnpth0:amd64 1.6-3
2022-08-02 04:33:30 install dirmngr:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 04:33:30 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:30 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:30 install libdpkg-perl:all <none> 1.20.11
2022-08-02 04:33:30 status half-installed libdpkg-perl:all 1.20.11
2022-08-02 04:33:30 status unpacked libdpkg-perl:all 1.20.11
2022-08-02 04:33:30 install patch:amd64 <none> 2.7.6-7
2022-08-02 04:33:30 status half-installed patch:amd64 2.7.6-7
2022-08-02 04:33:30 status unpacked patch:amd64 2.7.6-7
2022-08-02 04:33:30 install make:amd64 <none> 4.3-4.1
2022-08-02 04:33:30 status half-installed make:amd64 4.3-4.1
2022-08-02 04:33:30 status unpacked make:amd64 4.3-4.1
2022-08-02 04:33:30 install dpkg-dev:all <none> 1.20.11
2022-08-02 04:33:30 status half-installed dpkg-dev:all 1.20.11
2022-08-02 04:33:30 status unpacked dpkg-dev:all 1.20.11
2022-08-02 04:33:30 install libcc1-0:amd64 <none> 10.2.1-6
2022-08-02 04:33:30 status half-installed libcc1-0:amd64 10.2.1-6
2022-08-02 04:33:30 status unpacked libcc1-0:amd64 10.2.1-6
2022-08-02 04:33:30 install libgomp1:amd64 <none> 10.2.1-6
2022-08-02 04:33:30 status half-installed libgomp1:amd64 10.2.1-6
2022-08-02 04:33:30 status unpacked libgomp1:amd64 10.2.1-6
2022-08-02 04:33:30 install libitm1:amd64 <none> 10.2.1-6
2022-08-02 04:33:30 status half-installed libitm1:amd64 10.2.1-6
2022-08-02 04:33:30 status unpacked libitm1:amd64 10.2.1-6
2022-08-02 04:33:30 install libatomic1:amd64 <none> 10.2.1-6
2022-08-02 04:33:30 status half-installed libatomic1:amd64 10.2.1-6
2022-08-02 04:33:30 status unpacked libatomic1:amd64 10.2.1-6
2022-08-02 04:33:30 install libasan6:amd64 <none> 10.2.1-6
2022-08-02 04:33:30 status half-installed libasan6:amd64 10.2.1-6
2022-08-02 04:33:30 status unpacked libasan6:amd64 10.2.1-6
2022-08-02 04:33:30 install liblsan0:amd64 <none> 10.2.1-6
2022-08-02 04:33:30 status half-installed liblsan0:amd64 10.2.1-6
2022-08-02 04:33:31 status unpacked liblsan0:amd64 10.2.1-6
2022-08-02 04:33:31 install libtsan0:amd64 <none> 10.2.1-6
2022-08-02 04:33:31 status half-installed libtsan0:amd64 10.2.1-6
2022-08-02 04:33:31 status unpacked libtsan0:amd64 10.2.1-6
2022-08-02 04:33:31 install libubsan1:amd64 <none> 10.2.1-6
2022-08-02 04:33:31 status half-installed libubsan1:amd64 10.2.1-6
2022-08-02 04:33:31 status unpacked libubsan1:amd64 10.2.1-6
2022-08-02 04:33:31 install libquadmath0:amd64 <none> 10.2.1-6
2022-08-02 04:33:31 status half-installed libquadmath0:amd64 10.2.1-6
2022-08-02 04:33:31 status unpacked libquadmath0:amd64 10.2.1-6
2022-08-02 04:33:31 install libgcc-10-dev:amd64 <none> 10.2.1-6
2022-08-02 04:33:31 status half-installed libgcc-10-dev:amd64 10.2.1-6
2022-08-02 04:33:31 status unpacked libgcc-10-dev:amd64 10.2.1-6
2022-08-02 04:33:31 install gcc-10:amd64 <none> 10.2.1-6
2022-08-02 04:33:31 status half-installed gcc-10:amd64 10.2.1-6
2022-08-02 04:33:33 status unpacked gcc-10:amd64 10.2.1-6
2022-08-02 04:33:33 install gcc:amd64 <none> 4:10.2.1-1
2022-08-02 04:33:33 status half-installed gcc:amd64 4:10.2.1-1
2022-08-02 04:33:33 status unpacked gcc:amd64 4:10.2.1-1
2022-08-02 04:33:33 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2022-08-02 04:33:33 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 04:33:33 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 04:33:33 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 04:33:33 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 install gpg:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 04:33:33 status half-installed gpg:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 status unpacked gpg:amd64 2.2.27-2+deb11u2
2022-08-02 04:33:33 install pinentry-curses:amd64 <none> 1.1.0-4
2022-08-02 04:33:33 status half-installed pinentry-curses:amd64 1.1.0-4
